Nome,ticker,valorMaximo,quantidade,p_vp,valorAtual,comprar
Rio Bravo Renda Varejo,RBVA11,216.75,1,1.0099,109.69,Não
TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOB,TVRI11,216.75,2,1.0308,103.44,Não
Vinci Shopping Centers,VISC11,216.75,1,0.9507,121.13,Sim
TRX Real Estate,TRXF11,232.24,2,1.026,109.09,Não
GGR Covepi Renda,GGRC11,232.24,20,1.0009,11.25,Não
CSHG Brasil Shopping,HGBS11,154.83,0,0.9629,219.6,Não
BTG Pactual Corporate Office,BRCR11,154.83,2,0.6038,55.29,Sim
HSI MALL FDO INV IMOB,HSML11,154.83,1,1.0084,96.7,Não
Malls Brasil Plural,MALL11,92.90,0,0.9406,112.54,Não
FDO INV IMOB - VBI LOGÍSTICO,LVBI11,92.90,0,1.0054,117.25,Não
XP Malls,XPML11,0.00,0,1.0476,116.01,Não
BTG PACTUAL LOGISTICA FDO INV IMOB - FII,BTLG11,0.00,0,1.01,101.15,Não
XP Log,XPLG11,0.00,0,0.9354,104.33,Não
VINCI LOGÍSTICA FDO INV IMOB,VILG11,0.00,0,0.7842,89.3,Não
BRESCO LOGÍSTICA - FDO INV IMOB,BRCO11,0.00,0,0.9864,118.07,Não
FDO. INV. IMOB. VBI PRIME PROPERTIES,PVBI11,0.00,0,0.9573,96.46,Não
CGHG Logística,HGLG11,0.00,0,1.0341,162.42,Não
CSHG Real Estate,HGRE11,0.00,0,0.7876,120.76,Não
FDO.INVEST. IMOB. MULTI RENDA URBANA,VVMR11,0.00,0,0.8116,90.96,Não
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,RCRB11,0.00,0,0.7611,156.24,Não
